cell_id,option,cost_inr,person_degC,tier1_person_degC,row0,col0,lon,lat
13149,greening,982125.0,4277.17725944519,0.0,1190,590,80.21394,13.02641
14910,greening,1012500.0,4265.4751834869385,0.0,1350,600,80.21684,12.98302
4601,greening,1012500.0,4260.315208435059,4014.8466444015503,410,910,80.30187,13.23825
11736,greening,708750.0,4259.930587768555,0.0,1060,760,80.26086,13.06181
11281,greening,951750.0,4251.396371841431,0.0,1020,610,80.21933,13.07254
12440,greening,911250.0,4247.749588012695,0.0,1130,100,80.07832,13.04224
12500,greening,901125.0,4215.3274466991425,0.0,1130,700,80.24432,13.04278
11522,greening,840375.0000000001,4208.048339366913,0.0,1040,820,80.27745,13.06729
12937,greening,850500.0,4203.680099964142,0.0,1170,670,80.23605,13.0319
11789,greening,810000.0,4197.346446990967,1550.3160829544067,1070,190,80.10316,13.0586
10853,greening,992250.0,4194.908000946045,0.0,980,730,80.2525,13.08349
13476,greening,901125.0,4191.873872756958,0.0,1220,560,80.20566,13.01825
11275,greening,870750.0,4191.4815673828125,0.0,1020,550,80.20272,13.07249
10852,greening,951750.0,4188.380923271179,0.0,980,720,80.24973,13.08348
10064,greening,961875.0,4183.418895721436,0.0,910,540,80.19986,13.10232
11521,greening,810000.0,4173.672972679138,0.0,1040,810,80.27468,13.06728
9852,greening,759375.0,4168.162891387939,3725.168354034424,890,620,80.22198,13.10781
11392,greening,951750.0,4162.744812011719,0.0,1030,620,80.2221,13.06984
11393,greening,880875.0,4161.418327331543,0.0,1030,630,80.22487,13.06985
14702,greening,536625.0,4158.538204193115,0.0,1330,720,80.25002,12.98854
10719,greening,931500.0,4153.331134796143,0.0,970,490,80.18608,13.086
12277,greening,931500.0,4145.206085205078,0.0,1110,670,80.236,13.04818
10643,greening,1012500.0,4131.236873626709,781.025333404541,960,830,80.28015,13.08899
11515,greening,820124.9999999999,4130.443293571472,0.0,1040,750,80.25808,13.06723
12722,greening,921374.9999999999,4129.932191848755,0.0,1150,720,80.24987,13.03737
12119,greening,891000.0,4118.193766593933,0.0,1100,190,80.10319,13.05047
11615,greening,1012500.0,4113.128185272217,0.0,1050,650,80.23042,13.06444
8335,greening,870750.0,4109.173599720001,2956.224412918091,750,850,80.28552,13.14597
12375,greening,820124.9999999999,4107.062698364258,0.0,1120,550,80.20281,13.04537
8336,greening,789750.0,4100.91699552536,3545.644462585449,750,860,80.28829,13.14598
12606,greening,810000.0,4098.173705101013,0.0,1140,660,80.23326,13.04003
10957,greening,840375.0000000001,4088.493468284607,0.0,990,670,80.2359,13.08073
13584,greening,860625.0,4083.431833267212,0.0,1230,540,80.20014,13.01552
11993,greening,901125.0,4082.461669921875,0.0,1090,30,80.05891,13.05302
12061,greening,799875.0,4074.9136276245117,0.0,1090,710,80.24705,13.05364
13168,greening,972000.0,4073.1297760009766,0.0,1190,780,80.2665,13.02657
11074,greening,951750.0,4072.0540866851807,0.0,1000,740,80.25528,13.07807
7338,greening,921374.9999999999,4067.848466873169,3930.8560342788696,660,780,80.26608,13.17033
11899,greening,698625.0,4060.891044616699,1315.637445449829,1080,190,80.10317,13.05589
12228,greening,799875.0,4048.2327842712402,0.0,1110,180,80.10043,13.04774
10297,greening,961875.0,4043.8113174438477,0.0,930,670,80.23585,13.09701
12374,greening,911250.0,4043.1549196243286,0.0,1120,540,80.20004,13.04536
12827,greening,921374.9999999999,4039.9654960632324,0.0,1160,670,80.23604,13.03462
7975,greening,870750.0,4029.339966773987,665.1063995361328,720,550,80.20246,13.15387
10744,greening,1002375.0,4015.8474159240723,0.0,970,740,80.25526,13.08621
12952,greening,941625.0000000001,4014.259080886841,0.0,1170,820,80.27755,13.03202
10193,greening,992250.0,4008.0980730056763,0.0,920,730,80.25245,13.09977
12115,greening,901125.0,4006.435203552246,0.0,1100,150,80.09212,13.05043
12177,greening,1002375.0,4005.752676963806,0.0,1100,770,80.26366,13.05097
13588,greening,658125.0,4005.1838665008545,0.0,1230,580,80.21121,13.01555
10397,greening,840375.0000000001,3989.173692703247,2284.497968673706,940,570,80.20819,13.09421
12396,greening,850500.0,3971.7597255706787,0.0,1120,760,80.26091,13.04554
11168,greening,931500.0,3967.422468185425,0.0,1010,580,80.21102,13.07523
14596,greening,961875.0,3966.246708869934,0.0,1320,760,80.26107,12.99129
15982,greening,992250.0,3965.230806350708,0.0,1450,320,80.13949,12.95565
10730,greening,810000.0,3954.485828399658,0.0,970,600,80.21652,13.0861
1803,greening,607500.0000000001,3950.8114738464355,3412.6010580062866,160,430,80.16873,13.30566
10382,greening,810000.0,3943.111940383911,3943.111940383911,940,420,80.16668,13.09408
13482,greening,921374.9999999999,3942.9332790374756,0.0,1220,620,80.22226,13.0183
13031,greening,982125.0,3940.286386489868,0.0,1180,510,80.1918,13.02906
12399,greening,921374.9999999999,3939.545778274536,0.0,1120,790,80.26921,13.04556
13263,greening,870750.0,3924.410304069519,0.0,1200,630,80.22501,13.02373
11159,greening,931500.0,3921.0305310487747,0.0,1010,490,80.18611,13.07515
12939,greening,769500.0,3902.9364337921143,0.0,1170,690,80.24159,13.03192
12006,greening,840375.0000000001,3901.0460233688354,0.0,1090,160,80.09488,13.05315
11845,greening,830250.0,3891.5205116271973,0.0,1070,750,80.2581,13.05909
12268,greening,1012500.0,3885.660446166992,0.0,1110,580,80.2111,13.0481
12721,greening,718875.0,3878.333730697632,0.0,1150,710,80.2471,13.03736
14374,greening,759375.0,3878.121082305908,0.0,1300,740,80.25552,12.9967
12007,greening,799875.0,3877.18345451355,0.0,1090,170,80.09765,13.05316
12048,greening,1012500.0,3873.3058490753174,0.0,1090,580,80.21108,13.05353
12828,greening,931500.0,3871.883288383484,0.0,1160,680,80.23881,13.03462
12720,greening,799875.0,3865.97532081604,0.0,1150,700,80.24434,13.03735
9951,greening,820124.9999999999,3862.884383201599,3726.0890016555786,900,510,80.19155,13.10501
10861,greening,941625.0000000001,3845.9675827026367,0.0,980,810,80.27463,13.08355
13490,greening,911250.0,3831.4232692718506,0.0,1220,700,80.24439,13.01837
13372,greening,972000.0,3822.481061935425,0.0,1210,620,80.22225,13.02101
12829,greening,921374.9999999999,3801.536608695984,0.0,1160,690,80.24158,13.03463
8445,greening,718875.0,3800.924261569977,1715.6360626220703,760,850,80.28553,13.14326
12511,greening,921374.9999999999,3798.9908351898193,0.0,1130,810,80.27475,13.04287
12276,greening,840375.0000000001,3796.370288848877,0.0,1110,660,80.23324,13.04817
11282,greening,820124.9999999999,3796.336368560791,0.0,1020,620,80.22209,13.07255
13042,greening,931500.0,3787.3315448760986,0.0,1180,620,80.22223,13.02915
11629,greening,840375.0000000001,3784.0701818466187,0.0,1050,790,80.26916,13.06455
11498,greening,1002375.0,3780.428891181946,0.0,1040,580,80.21104,13.06709
7454,greening,961875.0,3779.218517303467,3567.1466121673584,670,840,80.28269,13.16767
14247,greening,1012500.0,3769.793991088867,0.0,1290,570,80.20849,12.99927
11069,greening,840375.0000000001,3762.766333580017,0.0,1000,690,80.24145,13.07803
11493,greening,1012500.0,3756.0061321258545,3536.2037315368652,1040,530,80.19721,13.06705
11173,greening,891000.0,3755.301480293274,0.0,1010,630,80.22485,13.07527
11719,greening,982125.0,3751.469051361084,0.0,1060,590,80.21383,13.06168
12009,greening,931500.0,3749.693537712097,0.0,1090,190,80.10318,13.05318
13046,greening,901125.0,3747.6798057556152,0.0,1180,660,80.23329,13.02918
11848,greening,911250.0,3743.8756942749023,0.0,1070,780,80.26641,13.05912
12280,greening,901125.0,3725.412808418274,0.0,1110,700,80.2443,13.0482
12155,greening,911250.0,3724.2151231765747,0.0,1100,550,80.20279,13.05079
10500,greening,1012500.0,3722.483066558838,0.0,950,500,80.18883,13.09144
12065,greening,850500.0,3722.2344818115234,0.0,1090,750,80.25812,13.05367
13043,greening,941625.0000000001,3721.6558809280396,0.0,1180,630,80.22499,13.02916
11167,greening,1012500.0,3719.4388427734375,0.0,1010,570,80.20825,13.07522
12433,greening,597375.0,3716.6956634521484,0.0,1130,30,80.05895,13.04217
12446,greening,961875.0,3714.842456817627,0.0,1130,160,80.09492,13.0423
10646,greening,810000.0,3706.801145553589,0.0,960,860,80.28846,13.08902
13370,greening,982125.0,3705.8976287841797,0.0,1210,600,80.21672,13.021
11938,greening,1012500.0,3698.840500831604,0.0,1080,580,80.21108,13.05624
11950,greening,880875.0,3697.678548812866,0.0,1080,700,80.24428,13.05634
11409,greening,728999.9999999999,3691.015659749508,0.0,1030,790,80.26914,13.06998
11172,greening,921374.9999999999,3687.4343338012695,0.0,1010,620,80.22208,13.07526
14704,greening,951750.0,3683.95228767395,0.0,1330,740,80.25555,12.98856
11076,greening,840375.0000000001,3680.7748613357544,0.0,1000,760,80.26082,13.07809
7783,greening,1012500.0,3672.003022670746,3672.003022670746,700,830,80.27995,13.15952
10427,greening,992250.0,3671.8084678649902,0.0,940,870,80.29121,13.09445
7455,greening,688500.0000000001,3671.2264742851257,3294.8012981414795,670,850,80.28546,13.16767
12839,greening,880875.0,3669.2996282577515,0.0,1160,790,80.26924,13.03471
15147,greening,992250.0,3669.2509937286377,0.0,1370,770,80.26388,12.97773
11680,greening,982125.0,3665.132221221924,0.0,1060,200,80.10592,13.06132
12808,greening,992250.0,3661.5550498962402,0.0,1160,480,80.18348,13.03446
9915,greening,810000.0,3659.420923233032,0.0,900,150,80.09193,13.10468
11071,greening,759375.0,3655.3112964630127,0.0,1000,710,80.24698,13.07805
11742,greening,921374.9999999999,3651.6364641189575,0.0,1060,820,80.27747,13.06186
13500,greening,668250.0,3650.709072113037,0.0,1220,800,80.27206,13.01844
12618,greening,931500.0,3648.381862640381,0.0,1140,780,80.26646,13.04013
10633,greening,992250.0,3646.184168815613,0.0,960,730,80.25248,13.08892
11064,greening,870750.0,3641.506155014038,0.0,1000,640,80.22761,13.07799
10391,greening,648000.0,3637.1895933151245,0.0,940,510,80.19158,13.09416
12924,greening,1012500.0,3628.644090652466,0.0,1170,540,80.20009,13.0318
10065,greening,1012500.0,3623.3768453598022,0.0,910,550,80.20263,13.10233
11720,greening,1012500.0,3621.803479194641,0.0,1060,600,80.21659,13.06168
13481,greening,992250.0,3614.3373441696167,0.0,1220,610,80.2195,13.01829
13601,greening,870750.0,3610.153881072998,0.0,1230,710,80.24717,13.01566
11741,greening,1012500.0,3607.303285598755,0.0,1060,810,80.2747,13.06185
13153,greening,860625.0,3600.7067131996155,0.0,1190,630,80.225,13.02645
